ticker,company,sector,cik,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MMM,3M,Industrials,0000066740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AOS,A. O. Smith,Industrials,0000091142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABT,Abbott Laboratories,Health Care,0000001800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABBV,AbbVie,Health Care,0001551152,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ACN,Accenture,Information Technology,0001467373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADBE,Adobe Inc.,Information Technology,0000796343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMD,Advanced Micro Devices,Information Technology,0000002488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AES,AES Corporation,Utilities,0000874761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFL,Aflac,Financials,0000004977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A,Agilent Technologies,Health Care,0001090872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
APD,Air Products,Materials,0000002969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABNB,Airbnb,Consumer Discretionary,0001559720,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AKAM,Akamai Technologies,Information Technology,0001086222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALB,Albemarle Corporation,Materials,0000915913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARE,Alexandria Real Estate Equities,Real Estate,0001035443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALGN,Align Technology,Health Care,0001097149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALLE,Allegion,Industrials,0001579241,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
LNT,Alliant Energy,Utilities,0000352541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALL,Allstate,Financials,0000899051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
