ticker,company,cik,year,accession,status,path
LYV,Live Nation Entertainment,0001335258,2026,0001335258-26-000009,success,../data/item1a/0001335258_2026.txt
LYV,Live Nation Entertainment,0001335258,2025,0001335258-25-000028,success,../data/item1a/0001335258_2025.txt
LYV,Live Nation Entertainment,0001335258,2024,0001335258-24-000017,success,../data/item1a/0001335258_2024.txt
LYV,Live Nation Entertainment,0001335258,2023,0001335258-23-000014,success,../data/item1a/0001335258_2023.txt
LYV,Live Nation Entertainment,0001335258,2022,0001335258-22-000019,success,../data/item1a/0001335258_2022.txt
LYV,Live Nation Entertainment,0001335258,2021,0001335258-21-000009,success,../data/item1a/0001335258_2021.txt
LYV,Live Nation Entertainment,0001335258,2020,0001335258-20-000028,success,../data/item1a/0001335258_2020.txt
LYV,Live Nation Entertainment,0001335258,2019,0001335258-19-000024,success,../data/item1a/0001335258_2019.txt
LYV,Live Nation Entertainment,0001335258,2018,0001335258-18-000023,success,../data/item1a/0001335258_2018.txt
LYV,Live Nation Entertainment,0001335258,2017,0001335258-17-000031,success,../data/item1a/0001335258_2017.txt
LYV,Live Nation Entertainment,0001335258,2016,0001335258-16-000167,success,../data/item1a/0001335258_2016.txt
LYV,Live Nation Entertainment,0001335258,2015,0001335258-15-000026,success,../data/item1a/0001335258_2015.txt
LYV,Live Nation Entertainment,0001335258,2014,0001335258-14-000027,success,../data/item1a/0001335258_2014.txt
LYV,Live Nation Entertainment,0001335258,2013,0001193125-13-077102,item1a_not_found,
SATS,EchoStar,0001415404,2026,0001104659-26-021817,success,../data/item1a/0001415404_2026.txt
SATS,EchoStar,0001415404,2025,0001558370-25-001663,success,../data/item1a/0001415404_2025.txt
SATS,EchoStar,0001415404,2024,0001558370-24-002209,success,../data/item1a/0001415404_2024.txt
SATS,EchoStar,0001415404,2023,0001415404-23-000005,success,../data/item1a/0001415404_2023.txt
SATS,EchoStar,0001415404,2022,0001415404-22-000005,success,../data/item1a/0001415404_2022.txt
SATS,EchoStar,0001415404,2021,0001415404-21-000005,success,../data/item1a/0001415404_2021.txt
SATS,EchoStar,0001415404,2020,0001415404-20-000005,success,../data/item1a/0001415404_2020.txt
SATS,EchoStar,0001415404,2019,0001415404-19-000003,success,../data/item1a/0001415404_2019.txt
SATS,EchoStar,0001415404,2018,0001415404-18-000005,success,../data/item1a/0001415404_2018.txt
SATS,EchoStar,0001415404,2017,0001415404-17-000010,success,../data/item1a/0001415404_2017.txt
SATS,EchoStar,0001415404,2016,0001104659-16-099355,success,../data/item1a/0001415404_2016.txt
SATS,EchoStar,0001415404,2015,0001047469-15-000972,success,../data/item1a/0001415404_2015.txt
SATS,EchoStar,0001415404,2014,0001047469-14-001113,success,../data/item1a/0001415404_2014.txt
SATS,EchoStar,0001415404,2013,0001104659-13-011985,success,../data/item1a/0001415404_2013.txt
SATS,EchoStar,0001415404,2012,0001104659-12-016268,success,../data/item1a/0001415404_2012.txt
