ticker,company,sector,cik,first_year,last_year,n_10k
CMCSA,Comcast,Communication Services,0001166691,2010,2025,16
LYV,Live Nation Entertainment,Communication Services,0001335258,2010,2025,16
T,AT&T,Communication Services,0000732717,2010,2025,16
VZ,Verizon,Communication Services,0000732712,2010,2025,16
WBD,Warner Bros. Discovery,Communication Services,0001437107,2010,2025,16
CMG,Chipotle Mexican Grill,Consumer Discretionary,0001058090,2010,2025,16
HAS,Hasbro,Consumer Discretionary,0000046080,2010,2025,16
HD,Home Depot (The),Consumer Discretionary,0000354950,2010,2025,16
LOW,Lowe's,Consumer Discretionary,0000060667,2010,2025,16
ORLY,O’Reilly Automotive,Consumer Discretionary,0000898173,2010,2025,16
CAG,Conagra Brands,Consumer Staples,0000023217,2010,2025,16
HSY,Hershey Company (The),Consumer Staples,0000047111,2010,2025,16
KDP,Keurig Dr Pepper,Consumer Staples,0001418135,2010,2025,16
PEP,PepsiCo,Consumer Staples,0000077476,2010,2025,16
TGT,Target Corporation,Consumer Staples,0000027419,2010,2025,16
CVX,Chevron Corporation,Energy,0000093410,2010,2025,16
EXE,Expand Energy,Energy,0000895126,2010,2025,16
OKE,Oneok,Energy,0001039684,2010,2025,16
OXY,Occidental Petroleum,Energy,0000797468,2010,2025,16
VLO,Valero Energy,Energy,0001035002,2010,2025,16
AFL,Aflac,Financials,0000004977,2010,2025,16
AON,Aon plc,Financials,0000315293,2010,2025,16
BRO,Brown & Brown,Financials,0000079282,2010,2025,16
IBKR,Interactive Brokers,Financials,0001381197,2010,2025,16
PFG,Principal Financial Group,Financials,0001126328,2010,2025,16
HUM,Humana,Health Care,0000049071,2010,2025,16
INCY,Incyte,Health Care,0000879169,2010,2025,16
PODD,Insulet Corporation,Health Care,0001145197,2010,2025,16
SYK,Stryker Corporation,Health Care,0000310764,2010,2025,16
VRTX,Vertex Pharmaceuticals,Health Care,0000875320,2010,2025,16
BA,Boeing,Industrials,0000012927,2010,2025,16
MMM,3M,Industrials,0000066740,2010,2025,16
PNR,Pentair,Industrials,0000077360,2010,2025,16
SWK,Stanley Black & Decker,Industrials,0000093556,2010,2025,16
URI,United Rentals,Industrials,0001067701,2010,2025,16
CTSH,Cognizant,Information Technology,0001058290,2010,2025,16
IT,Gartner,Information Technology,0000749251,2010,2025,16
SNPS,Synopsys,Information Technology,0000883241,2010,2025,16
STX,Seagate Technology,Information Technology,0001137789,2010,2025,16
TXN,Texas Instruments,Information Technology,0000097476,2010,2025,16
ALB,Albemarle Corporation,Materials,0000915913,2010,2025,16
APD,Air Products,Materials,0000002969,2010,2025,16
ECL,Ecolab,Materials,0000031462,2010,2025,16
NUE,Nucor,Materials,0000073309,2010,2025,16
STLD,Steel Dynamics,Materials,0001022671,2010,2025,16
DLR,Digital Realty,Real Estate,0001297996,2010,2025,16
EXR,Extra Space Storage,Real Estate,0001289490,2010,2025,16
IRM,Iron Mountain,Real Estate,0001020569,2010,2025,16
REG,Regency Centers,Real Estate,0000910606,2010,2025,16
WELL,Welltower,Real Estate,0000766704,2010,2025,16
AES,AES Corporation,Utilities,0000874761,2010,2025,16
D,Dominion Energy,Utilities,0000715957,2010,2025,16
ED,Consolidated Edison,Utilities,0001047862,2010,2025,16
PNW,Pinnacle West Capital,Utilities,0000764622,2010,2025,16
SO,Southern Company,Utilities,0000092122,2010,2025,16
