n_neighbors,min_cluster_size,min_samples,topics,noise_pct,coherence
25,40,5,106,26.77745761576091,0.15216019462843966
25,40,10,104,22.43516719158346,0.14524528843106388
25,40,None,56,21.78516384105073,0.1456837952861725
25,50,5,78,23.500636601219593,0.14358301184217256
25,50,10,73,24.271259130201702,0.14757071123686138
25,50,None,40,27.64189506131475,0.14710722448488128
25,60,5,57,24.626415600080414,0.14967942619705385
25,60,10,57,25.812504188165917,0.14603933695113858
25,60,None,33,30.93211820679488,0.1521597144583672
25,70,5,47,22.68980767942103,0.14264978490098276
25,70,10,39,21.945989412316557,0.1504310552138813
25,70,None,31,30.483146820344437,0.15185771844253626
30,40,5,110,28.34550693560276,0.1515685636212168
30,40,10,81,16.839777524626413,0.14512778248034836
30,40,None,53,23.93620585673122,0.14709102393529883
30,50,5,74,23.828988809220668,0.14799981454085287
30,50,10,65,18.783086510755208,0.14581041165731545
30,50,None,40,23.755277089057163,0.14922100294260096
30,60,5,46,14.199557729679018,0.14245460523943984
30,60,10,46,15.278429270253971,0.14010433409666218
30,60,None,34,26.060443610534072,0.14855237873975766
30,70,5,39,15.298532466662198,0.14439084160376747
30,70,10,34,17.53668833344502,0.14305167152729956
30,70,None,28,22.234135227501174,0.1491210575548155
35,40,5,94,18.78978757622462,0.14611859052323176
35,40,10,90,21.121758359579175,0.14665793760966264
35,40,None,58,23.547544059505462,0.14826599048724193
35,50,5,71,20.585673122026403,0.14925318645345512
35,50,10,58,20.156804931984183,0.1463115024846556
35,50,None,40,28.144474971520474,0.15051276463380234
35,60,5,46,13.723782081350935,0.1425447956837216
35,60,10,53,21.38980097835556,0.14783533914450367
35,60,None,30,21.20217114521209,0.14780990619432208
35,70,5,39,13.44903839710514,0.151277061755902
35,70,10,36,14.816055752864704,0.14737970891841404
35,70,None,29,22.763519399584535,0.15013395462883622
