n_neighbors,min_cluster_size,min_samples,topics,noise_pct,coherence
25,40,5.0,108,26.92488105608792,0.15092581914453118
25,40,10.0,104,25.189305099510822,0.1454576593799818
25,40,,54,21.95939154325538,0.14571730861640347
25,50,5.0,78,23.212490786034977,0.14794002905000753
25,50,10.0,68,24.90115928432621,0.1499101758064891
25,50,,39,29.183140119278967,0.14375933947138875
25,60,5.0,57,22.83053005427863,0.14477835137085243
25,60,10.0,55,27.78261743617235,0.1497434916636693
25,60,,31,26.408899014943376,0.14528638565684393
25,70,5.0,46,22.904241774442134,0.1442790414540819
25,70,10.0,41,25.59807009314481,0.14990210379315178
25,70,,29,32.707900556188434,0.15310836348811466
30,40,5.0,96,21.463512698519065,0.14766304594973292
30,40,10.0,85,16.846478590095828,0.14488115108792096
30,40,,55,22.16042350733767,0.14394020104091748
30,50,5.0,68,19.882061247738392,0.14524440524114726
30,50,10.0,64,19.185150438919788,0.14789830346084526
30,50,,38,22.401661864236413,0.14284060297867557
30,60,5.0,47,15.405749514172754,0.1431120189279012
30,60,10.0,49,22.100113918112978,0.14213932532620405
30,60,,30,24.11713462440528,0.14503770599396817
30,70,5.0,38,16.451115727400655,0.14423381419670406
30,70,10.0,39,23.326408899014943,0.14300124967495725
30,70,,29,21.885679823091873,0.14685611131537424
35,40,5.0,97,18.702673725122295,0.14534621756374178
35,40,10.0,90,21.121758359579175,0.14665793760966264
35,40,,53,24.88105608791798,0.14834267100770746
35,50,5.0,71,20.585673122026403,0.14925318645345512
35,50,10.0,58,20.156804931984183,0.1463115024846556
35,50,,42,28.265094149969844,0.1488204899069015
35,60,5.0,52,18.64236413589761,0.14891345328809732
35,60,10.0,53,21.38980097835556,0.14783533914450367
35,60,,31,21.624338269784896,0.14893410444903576
35,70,5.0,39,13.44903839710514,0.151277061755902
35,70,10.0,35,13.529451182738056,0.14820686055099885
35,70,,29,23.286202506198485,0.15215322453671304
