Topic,Words,Frequency,Timestamp
-1,"financial, business, risk, credit, customers",192,2010
0,"environmental, energy, regulations, gas, emissions",80,2010
1,"product, health, claims, laws, products",39,2010
2,"systems, information, security, technology, unauthorized",15,2010
3,"data, security, information, privacy, personal",11,2010
4,"currency, foreign, million, garmin, international",16,2010
5,"tenants, bankruptcy, rent, properties, lease",20,2010
6,"products, product, consumer, consumers, packaging",14,2010
7,"goodwill, impairment, intangible, assets, value",28,2010
8,"food, restaurant, restaurants, ingredients, menu",7,2010
9,"credit, debt, covenants, suncor, indebtedness",7,2010
10,"merger, acquired, pas, pbg, acquisitions",7,2010
11,"laws, regulations, compliance, anti, corrupt",10,2010
12,"intellectual, property, rights, infringement, protect",15,2010
13,"wireless, fcc, das, cell, services",8,2010
14,"credit, market, risk, institutions, securities",25,2010
15,"litigation, proceedings, matters, lawsuits, claims",26,2010
16,"properties, contamination, environmental, substances, property",7,2010
18,"company, event, events, storms, possibly",1,2010
19,"employees, key, retain, demand, products",12,2010
20,"tobacco, cigarette, altria, consumers, products",6,2010
21,"needs, systems, enterprise, deliver, functions",3,2010
22,"moody, credibility, ratings, rating, agency",2,2010
23,"datacenter, centers, ibx, customers, data",2,2010
24,"hazardous, materials, logistical, washington, met",1,2010
26,"joint, venture, partners, venturers, interests",4,2010
27,"price, stock, market, securities, common",7,2010
28,"satellites, launch, design, outsourcing, providers",2,2010
-1,"financial, business, operations, risk, customers",218,2011
0,"environmental, energy, regulations, laws, gas",66,2011
1,"product, federal, products, health, laws",51,2011
2,"information, security, systems, technology, network",18,2011
3,"data, security, information, privacy, personal",14,2011
4,"foreign, currency, countries, international, exchange",12,2011
5,"bankruptcy, tenants, tenant, rent, lease",24,2011
6,"products, product, consumer, consumption, reputation",17,2011
7,"goodwill, impairment, assets, intangible, value",25,2011
8,"food, restaurants, restaurant, franchisees, concepts",16,2011
9,"credit, debt, secured, default, oneok",8,2011
10,"acquired, acquisitions, magma, acquisition, transactions",5,2011
11,"laws, regulations, anti, corrupt, foreign",8,2011
12,"intellectual, property, rights, infringement, protect",16,2011
13,"fcc, content, wireless, spectrum, services",15,2011
14,"credit, market, risk, institutions, financial",26,2011
15,"litigation, lawsuits, proceedings, claims, matters",22,2011
16,"contamination, properties, environmental, property, presence",12,2011
17,"firm, chase, jpmorgan, risk, market",5,2011
18,"company, event, events, storms, possibly",1,2011
19,"key, employees, retain, products, personnel",11,2011
20,"tobacco, cigarette, manufactured, price, disproportionately",3,2011
21,"fusion, systems, deliver, enterprise, needs",4,2011
22,"moody, rating, ratings, securities, sec",4,2011
23,"datacenter, centers, ibx, customers, data",2,2011
24,"hazardous, materials, logistical, washington, met",2,2011
26,"joint, venture, partners, venturers, partnership",4,2011
27,"price, stock, market, securities, common",8,2011
28,"services, outsourcing, timeliness, suppliers, providers",2,2011
-1,"financial, business, operations, results, risk",242,2012
0,"environmental, energy, regulations, facilities, gas",94,2012
1,"product, federal, health, products, laws",69,2012
2,"information, systems, security, technology, data",39,2012
3,"data, security, information, privacy, personal",15,2012
4,"foreign, currency, countries, international, operations",23,2012
5,"bankruptcy, tenants, tenant, rent, properties",22,2012
6,"products, product, consumer, laws, ingredients",14,2012
7,"goodwill, impairment, assets, intangible, value",36,2012
8,"food, restaurants, restaurant, franchisees, concepts",15,2012
9,"debt, facility, indebtedness, covenants, credit",11,2012
10,"acquired, transactions, divested, liabilities, businesses",5,2012
11,"laws, regulations, bribery, anti, policies",18,2012
12,"intellectual, property, rights, infringement, protect",16,2012
13,"fcc, wireless, services, content, spectrum",23,2012
14,"credit, market, risk, securities, institutions",23,2012
15,"litigation, proceedings, lawsuits, claims, legal",20,2012
16,"properties, environmental, contamination, property, real",15,2012
17,"firm, chase, jpmorgan, risk, businesses",4,2012
18,"carriers, aircraft, nols, weather, airline",3,2012
19,"products, employees, key, semiconductor, retain",10,2012
20,"tobacco, altria, subsidiaries, group, cigarette",7,2012
21,"fusion, systems, deliver, enterprise, needs",4,2012
22,"moody, rating, ratings, securities, company",5,2012
23,"centers, customers, ibx, datacenter, data",4,2012
24,"hazardous, materials, logistical, washington, met",2,2012
25,"tax, bb, changes, income, subject",3,2012
26,"joint, venture, partners, venturers, interests",4,2012
27,"stock, price, market, securities, common",8,2012
28,"suppliers, subcontractors, relationships, products, alliances",2,2012
-1,"financial, business, operations, results, result",243,2013
0,"environmental, gas, regulations, facilities, costs",88,2013
1,"product, federal, health, laws, products",64,2013
2,"information, systems, security, technology, attacks",33,2013
3,"data, security, privacy, information, personal",19,2013
4,"foreign, currency, countries, international, operations",18,2013
5,"tenants, bankruptcy, properties, tenant, lease",20,2013
6,"products, product, consumer, reputation, ingredients",18,2013
7,"goodwill, impairment, assets, intangible, value",30,2013
8,"food, restaurants, restaurant, franchisees, concepts",18,2013
9,"debt, indebtedness, capital, credit, ability",18,2013
10,"acquired, acquisitions, businesses, closing, acquisition",9,2013
11,"laws, anti, bribery, compliance, regulations",21,2013
12,"intellectual, property, rights, infringement, patents",17,2013
13,"fcc, wireless, services, spectrum, cable",20,2013
14,"credit, securities, market, risk, institutions",14,2013
