Topic,Words,Frequency,Timestamp
-1,"financial, risk, internal, material, future",98,2010
0,"information, security, systems, data, technology",42,2010
1,"environmental, energy, gas, regulations, emissions",86,2010
2,"product, health, medical, claims, clinical",41,2010
3,"currency, foreign, international, political, dollar",15,2010
4,"credit, debt, aes, default, indebtedness",14,2010
5,"goodwill, impairment, intangible, assets, value",30,2010
6,"litigation, claims, proceedings, matters, legal",43,2010
7,"laws, regulations, anti, compliance, corrupt",10,2010
8,"merger, acquired, pbg, pas, acquisitions",7,2010
9,"operators, sunrise, properties, tenants, managers",6,2010
10,"intellectual, property, rights, infringement, protect",16,2010
11,"credit, market, securities, risk, liquidity",30,2010
12,"wireless, fcc, das, cell, spectrum",8,2010
14,"property, contamination, environmental, properties, substances",8,2010
15,"food, restaurant, restaurants, ingredients, menu",5,2010
16,"products, customers, sales, distributors, warranty",11,2010
17,"products, product, contamination, reputation, recall",8,2010
18,"moody, ratings, rating, company, credit",7,2010
19,"regulatory, auction, securities, harm, legal",6,2010
20,"joint, venture, partnership, partners, dish",8,2010
21,"tobacco, cigarette, altria, succeed, products",5,2010
22,"wage, tax, changes, laws, expenses",3,2010
23,"key, employees, hire, management, retain",6,2010
24,"credit, economic, economy, conditions, global",9,2010
25,"bankruptcy, rent, tenant, lease, tenants",10,2010
27,"datacenter, centers, ibx, customers, data",2,2010
28,"hazardous, materials, terrorist, war, ensuing",2,2010
29,"livestock, consumer, products, preferences, consumers",5,2010
30,"satellites, launch, design, outsourcing, providers",2,2010
31,"price, stock, market, securities, common",7,2010
32,"workers, employees, time, immigration, unauthorized",2,2010
33,"ftc, commence, action, section, companion",1,2010
34,"company, events, event, storms, possibly",1,2010
35,"domain, registries, registry, zone, registration",3,2010
36,"motorola, disadvantage, placing, marks, competitors",7,2010
37,"team, guests, perceptions, target, members",1,2010
38,"clients, insurance, client, services, work",2,2010
-1,"financial, properties, business, products, environmental",110,2011
0,"information, security, systems, data, loss",51,2011
1,"environmental, energy, regulations, laws, gas",78,2011
2,"product, federal, medical, products, health",53,2011
3,"foreign, currency, countries, international, political",12,2011
4,"default, debt, credit, secured, facility",16,2011
5,"goodwill, impairment, assets, intangible, value",25,2011
6,"litigation, proceedings, lawsuits, legal, claims",36,2011
7,"laws, regulations, anti, corrupt, foreign",8,2011
8,"acquired, acquisitions, magma, acquisition, transactions",5,2011
9,"properties, tenants, operators, sunrise, managers",7,2011
10,"intellectual, property, rights, infringement, protect",17,2011
11,"credit, market, securities, risk, liquidity",30,2011
12,"fcc, content, wireless, spectrum, nbcuniversal",14,2011
13,"firm, chase, jpmorgan, risk, market",5,2011
14,"contamination, environmental, property, properties, substances",13,2011
15,"food, restaurants, restaurant, borne, ingredients",9,2011
16,"products, customers, sales, distributors, new",12,2011
17,"product, products, recall, alcohol, contamination",11,2011
18,"moody, rating, ratings, company, mis",9,2011
19,"regulatory, financial, fees, legal, management",7,2011
20,"joint, partnership, venture, partners, dish",8,2011
21,"manufactured, cigarette, tobacco, disproportionately, versus",2,2011
22,"wage, tax, changes, laws, legislative",3,2011
23,"key, employees, retain, personnel, hewitt",8,2011
24,"credit, economic, markets, conditions, adversely",8,2011
25,"bankruptcy, tenant, rent, lease, tenants",14,2011
27,"datacenter, centers, ibx, customers, data",2,2011
28,"hazardous, materials, terrorist, additional, circumstances",3,2011
29,"consumer, livestock, products, preferences, consumers",5,2011
30,"services, outsourcing, timeliness, providers, delivering",2,2011
31,"price, stock, market, securities, common",8,2011
32,"workers, employees, laws, immigration, labor",6,2011
34,"company, events, event, storms, possibly",1,2011
35,"domain, registries, registry, zone, registration",3,2011
36,"motorola, marks, mobility, license, brand",11,2011
37,"lowe, team, target, guests, perceptions",2,2011
38,"clients, services, client, insurance, satisfied",5,2011
-1,"financial, nee, business, results, operations",130,2012
0,"information, security, systems, data, technology",78,2012
1,"environmental, energy, gas, facilities, operations",105,2012
2,"product, federal, health, products, medical",73,2012
3,"foreign, currency, countries, international, exchange",23,2012
4,"debt, facility, indebtedness, credit, senior",19,2012
5,"goodwill, impairment, assets, intangible, value",36,2012
6,"litigation, proceedings, legal, claims, lawsuits",30,2012
7,"laws, bribery, regulations, anti, policies",18,2012
8,"acquired, transactions, divested, liabilities, businesses",5,2012
9,"operators, properties, tenants, managers, adverse",7,2012
10,"intellectual, property, rights, infringement, protect",16,2012
11,"credit, market, securities, risk, institutions",25,2012
12,"fcc, wireless, services, spectrum, content",23,2012
13,"firm, chase, jpmorgan, risk, clients",7,2012
14,"properties, environmental, contamination, property, real",16,2012
15,"food, restaurants, restaurant, franchisees, ingredients",10,2012
16,"products, customers, dealers, new, sales",11,2012
17,"product, products, alcohol, materials, contamination",9,2012
18,"moody, rating, ratings, company, mis",9,2012
19,"financial, risk, regulatory, securities, harm",7,2012
20,"joint, venture, partnership, partners, dish",8,2012
21,"tobacco, altria, cigarette, subsidiaries, group",5,2012
22,"tax, changes, laws, subject, regulations",5,2012
23,"key, employees, senior, hewitt, retain",7,2012
24,"economic, credit, financial, conditions, customers",6,2012
25,"tenant, bankruptcy, rent, tenants, lease",11,2012
27,"centers, customers, ibx, datacenter, power",5,2012
28,"hazardous, materials, terrorist, additional, circumstances",3,2012
29,"consumer, products, preferences, product, livestock",4,2012
30,"suppliers, subcontractors, relationships, products, alliances",2,2012
31,"stock, price, securities, market, common",8,2012
32,"laws, employees, workers, employment, immigration",4,2012
33,"laws, products, regulations, labeling, ingredients",2,2012
34,"carriers, airline, aircraft, weather, events",4,2012
35,"domain, icann, gtlds, zone, extensions",6,2012
36,"motorola, marks, mobility, license, brand",12,2012
37,"lowe, reputation, team, target, confidence",3,2012
38,"clients, client, services, satisfied, solutions",4,2012
-1,"financial, nee, firm, business, operations",118,2013
0,"information, security, systems, data, technology",84,2013
1,"environmental, gas, facilities, operations, regulations",101,2013
2,"product, federal, health, products, laws",69,2013
3,"foreign, currency, countries, international, operations",18,2013
4,"debt, indebtedness, credit, capital, cash",26,2013
5,"goodwill, impairment, assets, intangible, value",30,2013
6,"litigation, proceedings, legal, lawsuits, claims",23,2013
7,"laws, anti, bribery, regulations, compliance",24,2013
8,"acquired, acquisitions, mobile, transaction, businesses",11,2013
9,"properties, atria, sunrise, tenants, operators",6,2013
10,"intellectual, property, rights, infringement, patents",17,2013
11,"credit, securities, market, risk, investment",19,2013
12,"fcc, wireless, spectrum, services, cable",21,2013
13,"firm, chase, jpmorgan, risk, credit",14,2013
14,"properties, environmental, contamination, property, substances",16,2013
